Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2015-05-26 05:09:00,2015-05-25,05:09:00,Sleep,140.0,130,309
2015-05-26 09:50:00,2015-05-25,09:50:00,Sleep,44.0,130,590
2015-05-26 13:15:00,2015-05-25,13:15:00,Sleep,38.0,130,795
2015-05-26 15:47:00,2015-05-25,15:47:00,Sleep,46.0,130,947
2015-05-26 18:40:00,2015-05-25,18:40:00,Sleep,404.0,130,1120
2015-05-27 03:00:00,2015-05-26,03:00:00,Sleep,86.0,131,180
2015-05-27 05:07:00,2015-05-26,05:07:00,Sleep,160.0,131,307
2015-05-27 09:40:00,2015-05-26,09:40:00,Sleep,21.0,131,580
2015-05-27 10:09:00,2015-05-26,10:09:00,Sleep,10.0,131,609
2015-05-27 12:15:00,2015-05-26,12:15:00,Sleep,36.0,131,735
2015-05-27 15:10:00,2015-05-26,15:10:00,Sleep,43.0,131,910
2015-05-27 18:31:00,2015-05-26,18:31:00,Sleep,300.0,131,1111
2015-05-28 00:08:00,2015-05-27,00:08:00,Sleep,182.0,132,8
2015-05-28 03:45:00,2015-05-27,03:45:00,Sleep,275.0,132,225
2015-05-28 10:42:00,2015-05-27,10:42:00,Sleep,39.0,132,642
2015-05-28 14:03:00,2015-05-27,14:03:00,Sleep,39.0,132,843
2015-05-28 17:11:00,2015-05-27,17:11:00,Sleep,27.0,132,1031
2015-05-28 19:11:00,2015-05-27,19:11:00,Sleep,176.0,132,1151
2015-05-28 22:37:00,2015-05-27,22:37:00,Sleep,288.0,132,1357
2015-05-29 03:58:00,2015-05-28,03:58:00,Sleep,170.0,133,238
2015-05-29 09:00:00,2015-05-28,09:00:00,Sleep,45.0,133,540
2015-05-29 12:00:00,2015-05-28,12:00:00,Sleep,24.0,133,720
2015-05-29 14:22:00,2015-05-28,14:22:00,Sleep,29.0,133,862
2015-05-29 18:06:00,2015-05-28,18:06:00,Sleep,185.0,133,1086
2015-05-29 21:40:00,2015-05-28,21:40:00,Sleep,258.0,133,1300
2015-05-30 02:40:00,2015-05-29,02:40:00,Sleep,325.0,134,160
2015-05-30 10:09:00,2015-05-29,10:09:00,Sleep,42.0,134,609
2015-05-30 13:05:00,2015-05-29,13:05:00,Sleep,34.0,134,785
2015-05-30 16:23:00,2015-05-29,16:23:00,Sleep,43.0,134,983
2015-05-30 19:00:00,2015-05-29,19:00:00,Sleep,354.0,134,1140
2015-05-31 01:47:00,2015-05-30,01:47:00,Sleep,260.0,135,107
2015-05-31 08:17:00,2015-05-30,08:17:00,Sleep,43.0,135,497
2015-05-31 11:00:00,2015-05-30,11:00:00,Sleep,40.0,135,660
2015-05-31 13:28:00,2015-05-30,13:28:00,Sleep,97.0,135,808
2015-05-31 18:40:00,2015-05-30,18:40:00,Sleep,180.0,135,1120
2015-05-31 22:02:00,2015-05-30,22:02:00,Sleep,199.0,135,1322
2015-06-01 02:22:00,2015-05-31,02:22:00,Sleep,67.0,136,142
2015-06-01 04:45:00,2015-05-31,04:45:00,Sleep,105.0,136,285
2015-06-01 08:30:00,2015-05-31,08:30:00,Sleep,33.0,136,510
